character,category,meaning,onyomi,kunyomi,joyo_level,jlpt_level,wk_level
便,jōyō,"convenience, convenient",べん,たよ.*,4,N3,11
集,jōyō,"collect, gather",しゅう,あつ.まる,3,N4,10
申,jōyō,"say humbly, say, humbly say",,もう,3,N3,4
兄,jōyō,"older brother, big brother, elder brother",きょう,あに,2,N4,3
驚,jōyō,surprised,きょう,おどろ.*,9,N1,31
離,jōyō,detach,り,はな.*,9,N1,31
夕,jōyō,evening,せき,ゆう,1,N4,2
晩,jōyō,"night, evening",ばん,,6,N3,15
苦,jōyō,suffering,く,"くる, にが",3,N3,9
宿,jōyō,lodge,しゅく,やど,3,N3,13
喜,jōyō,"rejoice, delighted, pleased, happy",き,よろこ,4,N3,16
突,jōyō,"stab, thrust",とつ,つ.く,9,N3,26
演,jōyō,"perform, performance",えん,,5,N3,23
欲,jōyō,want,よく,ほ.しい,6,N3,32
念,jōyō,thought,ねん,,4,N3,14
雪,jōyō,snow,,ゆき,2,N3,7
張,jōyō,stretch,ちょう,は.る,5,N1,23
緒,jōyō,together,しょ,,9,N3,38
際,jōyō,occasion,さい,きわ,5,N3,21
園,jōyō,"garden, park",えん,,2,N3,16
光,jōyō,"sunlight, light",こう,ひかり,2,N3,5
背,jōyō,"back, height",はい,せ,6,N3,30
判,jōyō,judge,はん,,5,N3,21
係,jōyō,connection,けい,かか.わる,3,N3,16
欠,jōyō,lack,けつ,か.ける,4,N3,7
忙,jōyō,busy,ぼう,いそが,9,N3,19
老,jōyō,elderly,ろう,,4,N3,11
科,jōyō,science,か,,2,N3,6
置,jōyō,put,ち,お.く,4,N3,22
広,jōyō,wide,こう,ひろ,2,N4,3
台,jōyō,machine,"だい, たい",,2,N4,3
元,jōyō,origin,"げん, がん",もと,2,N4,3
疲,jōyō,exhausted,ひ,つか.れる,9,N3,45
段,jōyō,"steps, stairs",だん,,6,N3,27
邪,jōyō,wicked,じゃ,よこし.ま,9,N1,50
図,jōyō,diagram,"ず, と","え, はか.る",2,N4,5
負,jōyō,lose,ふ,"ま.ける, お.う",3,N3,9
恐,jōyō,fear,きょう,"おそ.*, こわ.い",9,N3,29
絵,jōyō,"drawing, painting",え,,2,N3,8
夏,jōyō,summer,げ,なつ,2,N4,7
暮,jōyō,livelihood,ぼ,く.*,6,N3,33
夢,jōyō,dream,む,ゆめ,5,N3,20
類,jōyō,"type, category, kind",るい,たぐ.い,4,N3,18
第,jōyō,"ordinal number prefix, ordinal prefix, number",だい,,3,N1,12
散,jōyō,scatter,さん,ち.*,4,N3,31
泣,jōyō,cry,きゅう,な,4,N1,15
種,jōyō,"kind, type",しゅ,,4,N3,18
打,jōyō,hit,だ,う,3,N3,4
原,jōyō,"original, fundamental, plain, field",げん,はら,2,N3,17
探,jōyō,"look for, search for",たん,さが.す,6,N3,31
従,jōyō,obey,じゅう,したが.う,6,N1,26
腹,jōyō,"belly, abdomen, stomach",ふく,"はら, なか",6,N3,27
慢,jōyō,"ridicule, laziness",まん,,9,N1,52
頃,jōyō,approximate,,"ころ, ごろ",9,,45
留,jōyō,detain,"る, りゅう",と,5,N3,16
備,jōyō,"provide, equip",び,そな.える,5,N3,23
授,jōyō,instruct,じゅ,さず.ける,5,N1,26
暗,jōyō,dark,あん,くら.い,3,N3,13
害,jōyō,"damage, injury, harm",がい,,4,N3,20
石,jōyō,stone,せき,いし,1,N3,2
興,jōyō,interest,"きょう, こう",,5,N1,32
馬,jōyō,horse,ば,うま,2,N3,8
済,jōyō,come to an end,さい,"す.ます, す.む",6,N3,21
許,jōyō,"permit, allow",きょ,ゆる.す,5,N3,18
収,jōyō,obtain,しゅう,おさ.める,6,N3,23
借,jōyō,borrow,しゃく,か.りる,4,N4,18
認,jōyō,recognize,にん,みと.める,6,N3,21
路,jōyō,road,ろ,,3,N3,10
状,jōyō,condition,じょう,,5,N3,22
庭,jōyō,garden,てい,にわ,3,N3,12
義,jōyō,righteousness,ぎ,,5,N1,21
田,jōyō,"rice paddy, rice field, field",でん,た,1,N4,2
似,jōyō,resemble,"ね, じ",に.る,5,N3,31
想,jōyō,concept,そう,,3,N3,13
責,jōyō,blame,せき,せ.める,5,N3,21
組,jōyō,"group, association, team",そ,くみ,2,N3,7
寒,jōyō,cold,かん,さむ,3,N3,12
術,jōyō,art,じゅつ,,5,N3,14
貸,jōyō,lend,たい,か,5,N4,27
途,jōyō,route,と,,9,N3,27
土,jōyō,"soil, earth, ground, dirt","ど, と",つち,1,N5,2
暇,jōyō,"spare time, free time",か,ひま,9,N1,27
横,jōyō,side,おう,よこ,3,N3,10
和,jōyō,"peace, japanese style","わ, お",なご,3,N3,9
鳥,jōyō,bird,ちょう,とり,2,N4,7
嫌,jōyō,dislike,けん,"いや, きら.い",9,N1,20
放,jōyō,release,ほう,はな.*,3,N3,11
師,jōyō,"teacher, expert, master",し,,5,N3,23
識,jōyō,"discerning, discriminating, know",しき,,5,N3,17
労,jōyō,"labor, labour",ろう,,4,N3,11
振,jōyō,"shake, wave",しん,ふ.る,9,N1,26
半,jōyō,half,はん,,2,N5,3
悲,jōyō,sad,ひ,かな,3,N3,12
局,jōyō,"bureau, department",きょく,,3,N3,8
窓,jōyō,window,そう,まど,6,N3,33
福,jōyō,"luck, fortune",ふく,,3,N3,13
罪,jōyō,guilt,ざい,つみ,5,N3,20
刻,jōyō,carve,こく,きさ.む,6,N3,34
特,jōyō,special,とく,,4,N4,11
割,jōyō,divide,かつ,"わり, わ",6,N3,23
三,jōyō,three,さん,み.*,1,N5,1
遊,jōyō,play,ゆう,あそ,3,N3,30
素,jōyō,element,"す, そ",,5,N1,21
給,jōyō,salary,きゅう,,4,N3,27
猫,jōyō,cat,,ねこ,9,N3,15
財,jōyō,wealth,"さい, ざい",,5,N3,19
賛,jōyō,agree,さん,,5,N3,32
煙,jōyō,smoke,えん,けむ.り,9,N3,18
館,jōyō,public building,かん,,3,N4,13
官,jōyō,government,かん,,4,N3,17
円,jōyō,"yen, round, circle",えん,まる.い,1,N5,2
逃,jōyō,escape,とう,"に.げる, のが.*, の.*",9,N3,38
倒,jōyō,"overthrow, collapse",とう,たお.す,9,N3,20
妻,jōyō,wife,さい,つま,5,N3,20
写,jōyō,copy,しゃ,"うつ.す, うつ.る",3,N4,4
皆,jōyō,"all, everyone, everything, everybody",かい,"みな, みんな",9,N3,13
閉,jōyō,"closed, close, closure",へい,"し, と",6,N3,33
追,jōyō,"follow, chase",つい,お,3,N3,11
弟,jōyō,"younger brother, little brother","だい, で",おとうと,2,N4,5
静,jōyō,quiet,せい,しず.か,4,N3,18
応,jōyō,respond,おう,,5,N1,22
昼,jōyō,noon,,ひる,2,N4,15
秘,jōyō,secret,ひ,ひ.める,6,N1,32
貧,jōyō,poor,びん,まず.しい,5,N3,30
絶,jōyō,"extinction, die out",ぜつ,た.*,5,N3,28
渡,jōyō,transit,と,わた,9,N3,25
薬,jōyō,"medicine, drug, drugs",やく,くすり,3,N3,17
殺,jōyō,kill,さつ,ころ.す,4,N3,13
費,jōyō,"expense, cost",ひ,つい.やす,4,N3,22
茶,jōyō,tea,"ちゃ, さ",,2,N4,6
盗,jōyō,steal,とう,ぬす.む,9,N3,30
宅,jōyō,"house, home",たく,,6,N3,23
除,jōyō,exclude,じょ,のぞ.く,6,N3,31
礼,jōyō,thanks,れい,,3,N3,4
候,jōyō,"climate, candidate",こう,,4,N3,25
保,jōyō,"preserve, guarantee",ほ,たも.つ,5,N1,16
寄,jōyō,approach,き,よ.る,5,N3,29
姉,jōyō,"older sister, big sister, elder sister",し,"お.ねえ, あね",2,N4,6
観,jōyō,view,かん,み.る,4,N3,22
陽,jōyō,"sunshine, sunlight",よう,ひ,3,N3,12
妹,jōyō,"younger sister, little sister",まい,いもうと,2,N4,6
参,jōyō,participate,さん,まい.る,4,N3,14
増,jōyō,increase,ぞう,"ふ.える, ふ.やす, ま.す",5,N3,21
犯,jōyō,crime,はん,おか.す,5,N3,20
到,jōyō,arrival,とう,,9,N3,42
院,jōyō,institution,いん,,3,N4,10
存,jōyō,suppose,"そん, ぞん",,6,N3,16
完,jōyō,perfect,かん,,4,N3,14
衆,jōyō,populace,しゅう,,6,N1,28
投,jōyō,throw,とう,な,3,N3,8
商,jōyō,merchandise,しょう,あきな.い,3,N3,12
制,jōyō,control,せい,せい,5,N3,21
疑,jōyō,doubt,ぎ,うたが.う,6,N3,13
忠,jōyō,loyalty,ちゅう,,6,N1,33
退,jōyō,"retreat, reject",たい,しりぞ.く,5,N3,27
独,jōyō,alone,どく,ひと.り,5,N1,26
破,jōyō,tear,は,やぶ.*,5,N3,35
互,jōyō,mutual,ご,たが.い,9,N3,35
昔,jōyō,"long ago, long time ago",,むかし,3,N3,11
婦,jōyō,wife,ふ,,5,N3,28
首,jōyō,neck,しゅ,くび,2,N3,6
娘,jōyō,daughter,,むすめ,9,N3,29
洗,jōyō,wash,せん,あら.う,6,N3,18
資,jōyō,resources,し,,5,N3,21
密,jōyō,secrecy,みつ,ひそ.か,6,N1,32
権,jōyō,rights,けん,,6,N3,21
形,jōyō,"shape, appearance, form",けい,"かた, かたち",2,N3,5
景,jōyō,scene,けい,,4,N3,25
青,jōyō,blue,"しょう, せい",あお,1,N4,5
研,jōyō,sharpen,けん,,3,N4,8
等,jōyō,equal,とう,"ひと.しい, など",3,N3,18
容,jōyō,"form, appearance, shape, figure",よう,,5,N3,19
護,jōyō,defend,ご,,5,N1,23
晴,jōyō,clear up,せい,は,2,N3,15
究,jōyō,research,きゅう,きわ.める,3,N4,8
詩,jōyō,poem,し,し,3,N1,13
敵,jōyō,enemy,てき,かな.う,5,N1,21
才,jōyō,genius,さい,,2,N3,2
抜,jōyō,extract,,ぬ,9,N3,25
勤,jōyō,work,きん,つと.*,6,N3,34
雑,jōyō,"random, miscellaneous","ざつ, ぞう",,5,N3,32
証,jōyō,"evidence, proof",しょう,あかし,5,N1,16
激,jōyō,"fierce, violent",げき,はげ.しい,6,N1,26
具,jōyō,tool,ぐ,,3,N3,9
冷,jōyō,"cool, cold",れい,"つめ.たい, ひ.*",4,N3,28
適,jōyō,suitable,てき,,5,N3,30
髪,jōyō,hair,はつ,かみ,9,N3,44
登,jōyō,climb,"とう, と",のぼ.る,3,N3,12
示,jōyō,"indicate, show",じ,しめ.す,5,N3,22
余,jōyō,"surplus, excess",よ,あま.る,5,N3,20
酒,jōyō,alcohol,しゅ,"さけ, さか",3,N3,10
規,jōyō,standard,き,,5,N3,23
肉,jōyō,meat,にく,,2,N4,5
善,jōyō,"morally good, good",ぜん,ぜん,6,N1,19
援,jōyō,"aid, assist",えん,,9,N1,22
滞,jōyō,stagnate,たい,とどこお.る,9,N1,35
視,jōyō,look at,し,,6,N1,24
吸,jōyō,"suck, inhale",きゅう,す.う,6,N3,22
銀,jōyō,silver,ぎん,,3,N4,13
式,jōyō,"ritual, ceremony, equation",しき,,3,N3,15
末,jōyō,end,まつ,すえ,4,N3,7
靴,jōyō,shoes,か,くつ,9,N3,27
駄,jōyō,burdensome,"だ, た",,9,N1,50
富,jōyō,rich,ふ,"と, とみ",5,N3,31
坊,jōyō,monk,ぼう,,9,,22
誤,jōyō,mistake,ご,あやま.*,6,N3,34
魚,jōyō,fish,ぎょ,さかな,2,N4,7
杯,jōyō,"cup of liquid, counter for cups",はい,,9,N3,29
扱,jōyō,handle,きゅう,あつか,9,N1,38
港,jōyō,"harbor, harbour, port",こう,みなと,3,N3,12
村,jōyō,village,そん,むら,1,N2,4
号,jōyō,number,ごう,,3,N3,4
舞,jōyō,dance,ぶ,"まい, ま.う",9,N3,36
招,jōyō,beckon,しょう,まね.く,5,N3,27
壊,jōyō,break,かい,こわ.*,9,N1,29
氏,jōyō,"family name, last name, surname",し,,4,N1,7
談,jōyō,discuss,だん,,3,N3,9
修,jōyō,discipline,しゅう,おさ.まる,5,N1,28
王,jōyō,king,おう,,1,N3,2
統,jōyō,unite,とう,,5,N1,22
訳,jōyō,"translation, reason",やく,わけ,6,N1,32
箱,jōyō,box,,はこ,3,N3,16
室,jōyō,room,しつ,,2,N4,6
謝,jōyō,"apologize, apologise",しゃ,あやま.る,5,N1,13
位,jōyō,rank,い,くらい,4,N3,11
迎,jōyō,welcome,げい,むか.える,9,N3,32
将,jōyō,commander,しょう,,6,N2,36
腕,jōyō,arm,わん,うで,9,N2,24
弾,jōyō,bullet,だん,"ひ.く, はず.む, たま",9,N1,37
傷,jōyō,wound,しょう,"きず, いた.める",6,N1,32
弁,jōyō,"dialect, speech",べん,,5,N1,16
影,jōyō,shadow,えい,かげ,9,N1,25
押,jōyō,push,おう,お,9,N3,30
敬,jōyō,respect,けい,,6,N2,33
尊,jōyō,revered,そん,とうと.い,6,N2,33
工,jōyō,industry,こう,,2,N4,1
叔,jōyō,"uncle, aunt",しゅく,,9,N1,59
字,jōyō,"letter, character, symbol",じ,,1,N4,4
為,jōyō,sake,い,ため,9,N1,35
鳴,jōyō,chirp,めい,な,2,N3,10
越,jōyō,go beyond,えつ,こ.*,9,N3,30
暖,jōyō,warm,だん,あたた.かい,6,N1,32
線,jōyō,line,せん,,2,N2,10
祖,jōyō,ancestor,そ,,5,N3,32
耳,jōyō,ear,,みみ,1,N3,4
技,jōyō,skill,ぎ,わざ,5,N2,14
準,jōyō,standard,じゅん,,5,N2,23
仲,jōyō,relationship,ちゅう,なか,4,N2,11
簡,jōyō,simplicity,かん,,6,N2,33
処,jōyō,deal with,しょ,,6,N3,28
易,jōyō,easy,い,やさ.しい,5,N3,19
府,jōyō,government,ふ,,4,N2,16
曲,jōyō,"music, bend",きょく,まげ.る,3,N3,6
暑,jōyō,"hot, hot weather",しょ,あつ,3,N1,12
軽,jōyō,"lightweight, light, light weight",けい,かる,3,N2,10
戸,jōyō,door,こ,と,2,N2,3
歯,jōyō,"tooth, teeth",,は,3,N3,12
側,jōyō,side,そく,"がわ, そば",4,N3,17
階,jōyō,"floor, story, storey",かい,,3,N2,12
勇,jōyō,"courage, bravery, valor, valour",ゆう,いさ,4,N2,15
根,jōyō,root,こん,ね,3,N2,12
黒,jōyō,black,こく,くろ.い,2,N4,7
製,jōyō,manufacture,せい,,5,N1,24
居,jōyō,alive,きょ,い,5,N3,25
領,jōyō,territory,りょう,,5,N2,22
則,jōyō,rule,そく,,5,N2,23
迷,jōyō,astray,めい,まよ.う,5,N3,27
評,jōyō,evaluate,ひょう,,5,N1,21
慮,jōyō,consider,りょ,,9,N1,38
精,jōyō,spirit,せい,,5,N3,28
障,jōyō,hinder,しょう,さわ.る,6,N1,26
机,jōyō,desk,,つくえ,6,N2,32
冬,jōyō,winter,とう,ふゆ,2,N4,3
帽,jōyō,hat,ぼう,,9,N2,47
構,jōyō,"set up, care",こう,かま.*,5,N3,25
草,jōyō,"grass, weed",そう,くさ,1,N3,5
荷,jōyō,luggage,か,に,3,N2,16
震,jōyō,earthquake,しん,ふる.える,9,N2,20
捕,jōyō,catch,ほ,"つか.まる, とら.える",9,N3,25
恥,jōyō,shame,ち,"は, はじ",9,N3,35
布,jōyō,cloth,ふ,ぬの,5,N2,19
差,jōyō,distinction,さ,さ,4,N3,24
異,jōyō,differ,い,こと.*,6,N1,33
折,jōyō,"fold, bend",せつ,お.る,4,N3,14
再,jōyō,again,"さ, さい",ふたた.び,5,N2,26
練,jōyō,practice,れん,,3,N2,13
設,jōyō,establish,せつ,もう.ける,5,N2,21
個,jōyō,individual,こ,,5,N2,20
星,jōyō,star,せい,ほし,2,N2,6
査,jōyō,"inspect, investigate, inspection, investigation",さ,,5,N2,21
延,jōyō,prolong,えん,"のば.す, の.びる",6,N2,30
復,jōyō,restore,ふく,,5,N2,26
量,jōyō,"quantity, amount",りょう,はか.る,4,N2,24
騒,jōyō,boisterous,そう,さわ.ぐ,9,N1,30
撃,jōyō,attack,げき,う.つ,9,N1,28
競,jōyō,compete,きょう,きそ.*,4,N2,11
湖,jōyō,lake,こ,みずうみ,3,N2,35
貴,jōyō,valuable,き,とうと.い,6,N1,34
春,jōyō,spring,しゅん,はる,2,N4,15
北,jōyō,north,ほく,きた,2,N5,3
浮,jōyō,float,ふ,"う, うわ",9,N3,30
吹,jōyō,blow,すい,ふ,9,N3,40
亡,jōyō,"deceased, death",ぼう,な.く,6,N3,6
普,jōyō,normal,ふ,,9,N2,31
減,jōyō,decrease,げん,へ.る,5,N2,19
共,jōyō,together,きょう,,4,N3,11
怖,jōyō,scary,ふ,こわ.*,9,N3,29
劇,jōyō,drama,げき,,6,N2,34
絡,jōyō,"entangle, coil around, entwine",らく,から.む,9,N2,19
賢,jōyō,clever,けん,かしこ.い,9,N2,48
隣,jōyō,neighbor,りん,となり,9,N1,40
昇,jōyō,ascend,しょう,のぼ.る,9,N2,27
禁,jōyō,prohibition,きん,,5,N2,18
混,jōyō,mix,こん,ま.*,5,N2,19
尋,jōyō,inquire,じん,たず.ねる,9,N1,31
黙,jōyō,shut up,もく,だま.る,9,N1,46
厳,jōyō,strict,"げん, ごん","きび.しい, おごそ.か",6,N1,32
例,jōyō,example,れい,たと,4,N3,14
温,jōyō,warm,おん,あたた.*,3,N2,12
賞,jōyō,prize,しょう,,4,N2,13
因,jōyō,cause,いん,よ,5,N3,17
器,jōyō,"container, vessel",き,うつわ,4,N1,13
派,jōyō,sect,は,,6,N1,21
周,jōyō,circumference,しゅう,まわ.り,4,N2,14
械,jōyō,contraption,かい,かせ,4,N2,20
橋,jōyō,bridge,きょう,はし,3,N2,13
響,jōyō,"echo, reverberation, resound",きょう,ひび.く,9,N1,25
鹿,jōyō,deer,ろく,"か, しか",9,N1,36
効,jōyō,effective,こう,き.く,5,N2,25
史,jōyō,history,し,,4,N2,19
固,jōyō,hard,こ,かた.い,4,N2,14
境,jōyō,boundary,きょう,さかい,5,N2,24
尽,jōyō,exhaust,じん,"つ.くす, つ.きる",9,N1,48
否,jōyō,no,ひ,"いな, いや",6,N3,33
偉,jōyō,greatness,い,えら,9,N3,51
比,jōyō,compare,ひ,くら.べる,5,N2,19
専,jōyō,specialty,せん,もっぱ.ら,6,N2,16
門,jōyō,"gates, gate",もん,,2,N2,16
介,jōyō,jammed in,かい,,9,N2,35
接,jōyō,adjoin,せつ,,5,N2,26
辺,jōyō,area,へん,"あた.り, べ",4,N2,7
片,jōyō,one sided,へん,かた,6,N2,39
涙,jōyō,teardrop,るい,なみだ,9,N2,44
惑,jōyō,misguided,わく,まど.う,9,N1,27
歴,jōyō,continuation,れき,へ.る,4,N2,19
偶,jōyō,accidentally,ぐう,たま,9,N3,50
農,jōyō,"farming, agriculture",のう,,3,N2,10
抱,jōyō,hug,ほう,"だ, かか",9,N3,37
聴,jōyō,listen,ちょう,き.く,9,N1,37
勢,jōyō,force,せい,いきお.い,5,N2,22
額,jōyō,"amount, framed picture, forehead",がく,,5,N2,24
弱,jōyō,weak,じゃく,よわ.い,2,N2,7
税,jōyō,tax,ぜい,,5,N2,21
御,jōyō,honorable,ご,お,9,N3,39
誕,jōyō,birth,たん,,6,N1,22
焼,jōyō,"bake, cook, burn",しょう,や,4,N2,18
儀,jōyō,ceremony,ぎ,,9,N1,41
俺,jōyō,"i, me",,おれ,9,,44
造,jōyō,create,ぞう,つく.る,5,N2,26
損,jōyō,loss,そん,そこ.なう,5,N2,34
短,jōyō,short,たん,みじか.い,3,N2,12
像,jōyō,"statue, image",ぞう,,5,N2,13
島,jōyō,island,とう,しま,3,N2,12
掛,jōyō,hang,がい,か,9,N3,25
汚,jōyō,dirty,お,"よご.*, きた.*",9,N2,32
森,jōyō,"forest, woods",,もり,1,N2,8
嘘,hyōgai,"lie, falsehood",キョ、 コ,うそ、 ふ.く,0,,0
隠,jōyō,hide,いん,かく.*,9,N1,25
雇,jōyō,employ,こ,やと.う,9,N2,39
床,jōyō,floor,しょう,"ゆか, とこ",9,N2,42
倍,jōyō,"double, times, multiply",ばい,,3,N2,12
植,jōyō,plant,しょく,う.*,3,N2,12
砂,jōyō,sand,さ,すな,6,N2,33
換,jōyō,exchange,かん,かえ.る,9,N2,36
基,jōyō,foundation,き,もと,5,N1,14
律,jōyō,law,りつ,,6,N2,23
陸,jōyō,land,りく,,4,N2,31
更,jōyō,again,こう,"さら, ふ",9,N3,30
軍,jōyō,army,ぐん,,4,N2,15
型,jōyō,"model, type",けい,かた,4,N2,24
米,jōyō,"rice, america","べい, まい", こめ,2,N3,5
泊,jōyō,overnight,はく,と.まる,9,N2,42
棒,jōyō,"pole, rod, wooden pole",ぼう,ぼう,6,N2,31
右,jōyō,right,"う, ゆう",みぎ,1,N5,2
装,jōyō,attire,そう,よそお.う,6,N2,33
泥,jōyō,mud,でい,どろ,9,N2,31
牛,jōyō,cow,ぎゅう,うし,2,N4,3
程,jōyō,extent,てい,ほど,5,N3,28
五,jōyō,five,ご,いつ.つ,1,N5,2
象,jōyō,"elephant, phenomenon","しょう, ぞう",,4,N2,24
壁,jōyō,wall,へき,かべ,9,N1,39
営,jōyō,manage,えい,いとな.む,5,N2,22
屈,jōyō,yield,くつ,かが,9,N1,27
講,jōyō,lecture,こう,,5,N2,35
頂,jōyō,"summit, humbly",ちょう,"いただき, いただ.く",6,N3,51
洋,jōyō,"western style, ocean",よう,よう,3,N4,11
奇,jōyō,"odd, strange",き,,9,N1,28
節,jōyō,season,せつ,,4,N1,19
油,jōyō,oil,ゆ,あぶら,3,N2,35
検,jōyō,examine,けん,,5,N1,21
郵,jōyō,mail,ゆう,,6,N2,26
述,jōyō,mention,じゅつ,の.べる,5,N2,24
耐,jōyō,resistant,たい,た.える,9,N1,48
般,jōyō,generally,はん,,9,N2,36
養,jōyō,foster,よう,やしな.う,4,N1,13
冊,jōyō,"books counter, books, counter for books, volumes counter, volumes, counter for volumes",さつ,,6,N2,19
極,jōyō,extreme,"きょく, ごく",きわ.める,4,N2,27
鍵,jōyō,key,けん,かぎ,9,,46
怠,jōyō,"lazy, neglect",たい,"おこた, なま",9,N1,52
暴,jōyō,violence,ぼう,あば.れる,5,N2,19
姿,jōyō,"figure, shape, form",し,すがた,6,N1,22
骨,jōyō,bone,こつ,ほね,6,N2,14
囲,jōyō,surround,い,かこ.む,4,N2,14
喫,jōyō,consume,きつ,,9,N2,18
裏,jōyō,backside,り,うら,6,N2,33
燃,jōyō,burn,ねん,も.*,5,N2,24
左,jōyō,left,さ,ひだり,1,N5,2
快,jōyō,pleasant,かい,こころよ.い,5,N2,30
魔,jōyō,devil,ま,,9,N1,46
筆,jōyō,writing brush,ひつ,ふで,3,N2,26
算,jōyō,"calculate, calculation",さん,,2,N2,10
百,jōyō,hundred,ひゃく,,1,N5,4
博,jōyō,"exhibition, gambling","はく, ばく",,4,N1,28
策,jōyō,plan,さく,さく,6,N1,22
舎,jōyō,cottage,しゃ,,5,N1,35
丘,jōyō,hill,きゅう,おか,9,N1,44
課,jōyō,section,か,,4,N2,13
齢,jōyō,age,れい,,9,N2,38
兵,jōyō,soldier,"へい, ひょう",,4,N2,17
鉄,jōyō,iron,てつ,,3,N2,10
司,jōyō,director,し,,4,N1,15
芸,jōyō,"acting, art",げい,,4,N2,14
率,jōyō,"percent, percentage","りつ, そつ",,5,N1,20
移,jōyō,shift,い,うつ.*,5,N2,28
枚,jōyō,"flat objects counter, flat object, counter for flat objects",まい,,6,N2,18
挙,jōyō,raise,きょ,あ.がる,4,N1,21
救,jōyō,rescue,きゅう,すく.う,4,N1,31
傘,jōyō,umbrella,さん,かさ,9,N1,28
捨,jōyō,throw away,しゃ,す,6,N2,32
毛,jōyō,"fur, hair",もう,け,2,N2,3
嵐,jōyō,storm,,あらし,9,N1,44
千,jōyō,thousand,せん,ち,1,N5,2
沈,jōyō,sink,ちん,しず.*,9,N2,43
卵,jōyō,egg,らん,たまご,6,N2,32
詳,jōyō,detailed,しょう,くわ.しい,9,N1,30
委,jōyō,committee,い,,3,N2,21
況,jōyō,condition,きょう,,9,N2,25
四,jōyō,four,し,"よん, よ",1,N5,2
悔,jōyō,regret,かい,"くや.しい, く.いる",9,N1,48
血,jōyō,blood,けつ,ち,3,N2,6
致,jōyō,do,ち,いた.す,9,N1,38
触,jōyō,touch,しょく,"さわ.る, ふ.れる",9,N2,24
掃,jōyō,sweep,そう,は.く,9,N2,31
防,jōyō,"prevent, prevention",ぼう,ふせ.ぐ,5,N2,20
脱,jōyō,undress,だつ,ぬ.ぐ,9,N1,22
団,jōyō,group,"だん, とん",,5,N2,19
釣,jōyō,fishing,ちょう,つ,9,N1,44
甘,jōyō,sweet,かん,あま,9,N2,36
低,jōyō,low,てい,ひく.い,4,N2,11
冗,jōyō,"superfluous, unnecessary, uselessness",じょう,,9,N1,16
奪,jōyō,rob,だつ,うば,9,N1,39
未,jōyō,not yet,み,ま.だ,4,N3,7
順,jōyō,"order, sequence",じゅん,,4,N2,19
妙,jōyō,strange,みょう,たえ.なる,9,N1,28
益,jōyō,benefit,えき,,5,N1,28
避,jōyō,"dodge, avoid",ひ,さ.ける,9,N1,38
改,jōyō,renew,かい,あらた.*,4,N2,19
微,jōyō,delicate,び,かす.か,9,N1,28
届,jōyō,deliver,,とど,6,N2,24
街,jōyō,street,"がい, かい",まち,4,N1,29
誌,jōyō,magazine,し,,6,N2,33
積,jōyō,accumulate,せき,"つ.む, つ.もる",4,N3,29
域,jōyō,"region, regional boundary, boundary",いき,,6,N2,22
角,jōyō,"angle, corner",かく,かど,2,N2,5
裕,jōyō,"abundant, plentiful",ゆう,,9,N1,20
細,jōyō,thin,さい,"ほそ, こま",2,N2,17
航,jōyō,navigation,こう,,4,N2,29
傾,jōyō,lean,けい,かたむ.*,9,N2,38
劣,jōyō,inferiority,れつ,おと.る,9,N1,49
趣,jōyō,gist,しゅ,おもむき,9,N1,43
企,jōyō,plan,き,くわだ.てる,9,N1,21
環,jōyō,loop,かん,,9,N1,24
符,jōyō,token,ふ,,9,N2,30
包,jōyō,wrap,ほう,つつ.み,4,N2,41
替,jōyō,replace,たい,か,9,N2,25
協,jōyō,cooperation,きょう,,4,N2,14
紹,jōyō,introduce,しょう,,9,N2,35
爆,jōyō,explode,ばく,,9,N2,37
贈,jōyō,presents,ぞう,おく.*,9,N2,38
及,jōyō,reach,きゅう,およ.*,9,N1,36
阪,jōyō,"heights, slope",はん,さか,9,,16
区,jōyō,"district, ward",く,,3,N2,15
恋,jōyō,romance,れん,こい,9,N2,17
展,jōyō,expand,てん,"のぶ, のび",6,N1,24
乳,jōyō,milk,にゅう,,6,N2,23
描,jōyō,draw,びょう,か.く,9,N1,38
奮,jōyō,stirred up,ふん,ふる.*,6,N1,50
滅,jōyō,destroy,めつ,ほろ.*,9,N1,43
叫,jōyō,shout,きょう,さけ.ぶ,9,N2,44
西,jōyō,west,せい,にし,2,N5,5
卒,jōyō,graduate,そつ,,4,N2,14
飼,jōyō,domesticate,し,か,5,N1,32
群,jōyō,flock,ぐん,"む, むら, む.れ",5,N2,39
虫,jōyō,"insect, bug",,むし,1,N2,4
患,jōyō,afflicted,かん,わずら.う,9,N2,37
希,jōyō,wish,き,まれ,4,N2,14
雲,jōyō,cloud,,くも,2,N2,8
停,jōyō,halt,てい,,4,N2,23
捜,jōyō,search,そう,さが.す,9,N2,25
輸,jōyō,transport,ゆ,,5,N2,24
乏,jōyō,scarce,ぼう,とぼ.しい,9,N1,30
被,jōyō,incur,ひ,かぶ.る,9,N2,20
討,jōyō,chastise,とう,,6,N1,26
染,jōyō,dye,せん,"しみ, そ.*",6,N1,32
並,jōyō,line up,へい,"なら.*, なみ",6,N2,28
恵,jōyō,favor,え,めぐ.*,9,N1,37
乱,jōyō,riot,らん,みだ.す,6,N2,19
診,jōyō,diagnose,しん,み.る,9,N1,29
補,jōyō,supplement,ほ,おぎな.う,6,N2,25
秋,jōyō,"autumn, fall",,あき,2,N4,15
魅,jōyō,alluring,み,,9,N1,30
